"recpt_dt","count","item_id"
"2016-10-12 14:27:00",2,23
"2016-10-12 17:51:00",1,23
"2016-10-13 19:52:00",1,23
"2016-10-14 18:44:00",2,23
"2016-10-16 11:17:00",1,23
"2016-10-16 17:20:00",1,23
"2016-10-17 13:42:00",2,23
"2016-10-17 15:16:00",1,23
"2016-10-17 17:27:00",1,23
"2016-10-17 17:55:00",1,23
"2016-10-17 20:33:00",1,23
"2016-10-18 18:50:00",1,23
"2016-10-20 15:40:00",1,23
"2016-10-20 20:43:00",2,23
"2016-10-21 13:06:00",1,23
"2016-10-21 13:29:00",1,23
"2016-10-21 15:12:00",4,23
"2016-10-21 18:05:00",1,23
"2016-10-21 20:48:00",1,23
"2016-10-22 13:22:00",1,23
"2016-10-22 15:30:00",6,23
"2016-10-22 16:47:00",1,23
"2016-10-23 10:18:00",3,23
"2016-10-23 15:28:00",1,23
"2016-10-23 19:43:00",1,23
"2016-10-24 14:30:00",4,23
"2016-10-24 15:21:00",1,23
"2016-10-24 18:26:00",1,23
"2016-10-24 19:40:00",1,23
"2016-10-24 21:17:00",1,23
"2016-10-25 18:49:00",3,23
"2016-10-25 19:25:00",1,23
"2016-10-26 15:16:00",6,23
"2016-10-26 18:08:00",1,23
"2016-10-26 19:19:00",1,23
"2016-10-27 18:51:00",1,23
"2016-10-27 20:24:00",1,23
"2016-10-28 18:28:00",2,23
"2016-10-28 18:59:00",4,23
"2016-10-28 19:35:00",4,23
"2016-10-29 14:58:00",1,23
"2016-10-29 14:59:00",1,23
"2016-10-30 10:02:00",4,23
"2016-10-30 10:48:00",1,23
"2016-10-30 13:00:00",2,23
"2016-10-30 13:26:00",1,23
"2016-10-30 17:09:00",4,23
"2016-10-30 18:02:00",1,23
"2016-10-31 20:36:00",2,23
"2016-10-08 13:31:00",1,23
"2016-10-08 15:48:00",1,23
"2016-10-08 18:15:00",1,23
"2016-10-08 18:42:00",1,23
"2016-10-09 11:11:00",2,23
"2016-10-09 17:42:00",1,23
"2016-10-10 18:50:00",1,23
"2016-10-11 10:03:00",1,23
"2016-10-13 20:01:00",1,23
"2016-10-14 12:20:00",2,23
"2016-10-14 19:33:00",1,23
"2016-10-14 21:12:00",1,23
"2016-10-18 18:31:00",1,23
"2016-10-20 12:49:00",1,23
"2016-10-20 20:45:00",1,23
"2016-10-20 21:00:00",1,23
"2016-10-27 19:35:00",1,23
"2016-10-28 18:40:00",1,23
"2016-10-28 21:09:00",2,23
"2016-11-01 18:15:00",2,23
"2016-11-02 12:48:00",1,23
"2016-11-02 21:58:00",1,23
"2016-11-03 21:33:00",2,23
"2016-11-03 13:48:00",1,23
"2016-11-03 13:41:00",1,23
"2016-11-03 13:53:00",4,23
"2016-11-03 14:48:00",2,23
"2016-11-03 18:54:00",5,23
"2016-11-03 19:23:00",1,23
"2016-11-03 21:08:00",2,23
"2016-11-03 21:11:00",1,23
"2016-11-03 21:45:00",3,23
"2016-11-03 21:54:00",1,23
"2016-11-04 13:23:00",1,23
"2016-11-04 13:47:00",5,23
"2016-11-04 18:55:00",2,23
"2016-11-05 17:17:00",1,23
"2016-11-05 13:31:00",1,23
"2016-11-05 18:07:00",1,23
"2016-11-05 18:55:00",2,23
"2016-11-05 19:06:00",1,23
"2016-11-05 19:28:00",2,23
"2016-11-05 21:11:00",1,23
"2016-11-05 21:43:00",1,23
"2016-11-06 09:32:00",1,23
"2016-11-06 10:12:00",2,23
"2016-11-06 11:35:00",1,23
"2016-11-06 12:17:00",1,23
"2016-11-06 12:22:00",1,23
"2016-11-07 13:56:00",1,23
"2016-11-07 14:19:00",1,23
"2016-11-07 16:23:00",1,23
"2016-11-07 19:36:00",1,23
"2016-11-07 20:31:00",1,23
"2016-11-08 11:02:00",1,23
"2016-11-09 13:03:00",1,23
"2016-11-09 15:45:00",1,23
"2016-11-09 19:00:00",2,23
"2016-11-10 16:14:00",1,23
"2016-11-11 10:23:00",2,23
"2016-11-11 14:00:00",1,23
"2016-11-11 19:29:00",1,23
"2016-11-11 22:02:00",1,23
"2016-11-12 10:39:00",1,23
"2016-11-12 15:05:00",1,23
"2016-11-12 18:34:00",1,23
"2016-11-12 19:08:00",1,23
"2016-11-12 19:19:00",1,23
"2016-11-12 19:24:00",1,23
"2016-11-13 15:55:00",1,23
"2016-11-13 16:06:00",2,23
"2016-11-13 16:55:00",1,23
